vehicle,item,quantitiy,serial,date_purchased,kilometer,description,km_diff,time_diff,time_diff
AA-3-01473,Tyre,1,"0919, 0919, 0919",8/6/2019 0:00,58212,Duraturn Tyre Tubeless Size 155/80 R12,39369,2year & 2 month,2year & 2 month
AA-3-01473,Tyre,1,2019,8/14/2019 0:00,58212,Triangle Tyre Size 185/R14,0,8 days,9 days
AA-3-01473,Tyre,1,"3x320, 3x320, 3x320",12/25/2020 0:00,127419,Triangle Tyre Tubeless Size 185/R14,128630,1year & 4 month,1year & 4 month
AA-3-05964,Tyre,2,"YL401E4001521, YL404E4001521",5/11/2011 0:00,0,Goodride Tyre with inner tube size 155/80 R12,0,0,1
AA-3-05964,Tyre,4,"2103, 4112x3",7/31/2014 0:00,133507,Ling Long Tyre Tubeless Size 155/80 R12,0,3year & 2 month,3year & 2 month
AA-3-05964,Tyre,2,1113x2,7/31/2014 0:00,133507,Good Ride Tyre Tubeless Size 185/80 R14,0,0,1
AA-3-05964,Tyre,3,"4516, 2815, 4215",1/4/2017 0:00,106775,Aelous Tyre Size 185/80 R14,0,2year & 6 month,2year & 6 month
AA-3-05964,Tyre,1,AA4130 1116,1/4/2017 0:00,106775,Apollo Tyre with Inner Tube Size 155/80 R12,0,0,1
AA-3-05964,Tyre,4,17342F22142 & 7252F22135 (0219),4/4/2019 0:00,702715,Ling Long Tyre Tubeless Size 155/80 R12,595940,2year & 3 month,2year & 3 month
AA-3-05964,Tyre,4,17342F22142 & 7252F22135 (0219),4/4/2019 0:00,702715,Ling Long Tyre Tubeless Size 155/80 R12,0,0,1
AA-3-05964,tyre,2,90815051A & 90818569B,6/9/2019 0:00,702715,Addis Tyre Tubeless Size 155/80 R12,0,2 year & 5 month,3 year & 5 month
AA-3-05964,tyre,2,0619x2,4/30/2020 0:00,734920,Ling Long Tyre Tubeless Size 155/80 R12,32205,2month only,2month only
AA-3-05964,tyre,1,18310,5/26/2020 0:00,734920,Ling Long Tyre Tubeless Size 185/ R14,0,1month only,1month only
AA-3-05964,tyre,2,4319x2,8/9/2020 0:00,744958,Duratrun Tyre Tubeless Size 185/ R14,32729,2year & 7month,2year & 7month
AA-3-28232,battery,1,13BOB151258,7/6/2011 0:00,151949,Gs Battery 12V 35Amp with acid,0,0,1
AA-3-28232,battery,1,1315A1S0267,1/4/2015 0:00,192193,GS Battery with Acid Size 12V 35Amp,40244,3year & 6 month,3year & 6 month
AA-3-28232,battery,1,2986ND146,8/19/2017 0:00,219118,Quantum Battery With Acid Size 12V 35Amp,26925,2year & 7month,2year & 7month
AA-3-28232,battery,1,GF13HF2,7/4/2022 0:00,311541,"Yuasa Battery W/Acid Size 12V, 35mp",3944,9 month only,10 month only
AA-3-26756,battery,1,0499Bik,2/5/2010 0:00,89207,"Gs Battery 12V,70Amp With Acid",0,0,1
AA-3-26756,battery,1,120113,6/8/2011 0:00,104026,"Fujiya Battery 12V 70Amp with acid km 104,026 (Transfer to Plt No. 3-28897 Mahindra, Brand Fiamm Battery, S.No 907423)",14819,1year & 4month,1year & 4month
AA-3-26756,battery,1,9G18A,2/10/2020 0:00,0,X-Pro Battery with Acid Size 12V 70mp,0,3year,3year
ET-3-96668,battery,2,"""C 668553120018 C 60553126022""",1/9/2019 0:00,66094,"Energizer Battery 12V,150Amp",59376,4year & 3 month,4year & 3 month
AA-3-03055,battery,1,1980B1S2324,11/18/2011 0:00,208850,GS Battery 12V 35Amp with acid,0,0,1
